recording_id,topic,type,count,manifest_count,source_start_s,source_end_s,receive_start_s,receive_end_s,source_start_ns,source_end_ns,receive_start_ns,receive_end_ns,source_dt_s,receive_dt_s,receive_minus_source_s,source_nonincreasing,source_missing,nonfinite_values,source_median_hz,source_mean_hz,source_gap_threshold_s,source_long_gap_count,receive_stall_count
gait_20260909_145241_9cae0ba51169,/JOINTS_DATA,drdds/msg/JointsData,3341,3341,-0.014832842,16.685168295,-0.0107456,16.686627061,1788936761706637990,1788936778406639127,1788936761710725232,1788936778408097893,"{""min"": 0.004889792, ""median"": 0.004999751, ""p95"": 0.005009959, ""max"": 0.005105626}","{""min"": 0.001162112, ""median"": 0.0049861765, ""p95"": 0.008624118749999953, ""max"": 0.082311129}","{""min"": 0.000922197, ""median"": 0.00158495, ""p95"": 0.031488505, ""max"": 0.090678748}",0,0,0,200.0099604960327,199.99998638323444,0.1,0,0
gait_20260909_145241_9cae0ba51169,/JOINTS_DATA_10HZ,drdds/msg/JointsData,167,167,0.05517329,16.655172708,0.062594501,16.658477491,1788936761776644122,1788936778376643540,1788936761784065333,1788936778379948323,"{""min"": 0.099988594, ""median"": 0.099999969, ""p95"": 0.10000747825, ""max"": 0.10001076}","{""min"": 0.03261971, ""median"": 0.09999457, ""p95"": 0.10212117525, ""max"": 0.168515347}","{""min"": 0.001133771, ""median"": 0.002560653, ""p95"": 0.006186880999999988, ""max"": 0.072814301}",0,0,0,10.000003100000962,10.000000350602422,0.49999984499999994,0,0
gait_20260909_145241_9cae0ba51169,/MOTION_INFO,drdds/msg/MotionInfo,334,334,-0.009582841,16.640417582,0.015407073,16.642183825,1788936761711887991,1788936778361888414,1788936761736877905,1788936778363654657,"{""min"": 0.049966588, ""median"": 0.05000013, ""p95"": 0.0500105722, ""max"": 0.050033964}","{""min"": 0.014427587, ""median"": 0.049906693, ""p95"": 0.0523157902, ""max"": 0.093350737}","{""min"": 0.001600723, ""median"": 0.0026503810000000003, ""p95"": 0.0054027821, ""max"": 0.046999346}",0,0,0,19.999948000135202,19.999999491891902,0.25000065,0,0
gait_20260909_145241_9cae0ba51169,/STEER,drdds/msg/Steer,59,59,5.064863563,12.07143466,1.748439968,8.318566436,1788936766786334395,1788936773792905492,1788936763469910800,1788936770040037268,"{""min"": 6.9759e-05, ""median"": 8.0917e-05, ""p95"": 1.00008395675, ""max"": 2.001381683}","{""min"": 0.005689633, ""median"": 0.0804140555, ""p95"": 0.16062164054999997, ""max"": 1.382640625}","{""min"": -3.757321319, ""median"": -3.241339377, ""p95"": -2.8485436132, ""max"": -2.786676842}",0,0,0,12358.342499104021,8.277943547141602,0.1,6,2
gait_20260909_145241_9cae0ba51169,/rslidar_front/points,sensor_msgs/msg/PointCloud2,167,167,-0.121468782,16.478533984,0.01876861,16.605844525,1788936761600002050,1788936778200004816,1788936761740239442,1788936778327315357,"{""min"": 0.0992167, ""median"": 0.099997998, ""p95"": 0.10012572950000001, ""max"": 0.100878001}","{""min"": 0.063045888, ""median"": 0.09972555550000001, ""p95"": 0.1105414005, ""max"": 0.138676381}","{""min"": 0.117873875, ""median"": 0.122243472, ""p95"": 0.1309243979, ""max"": 0.160224397}",0,0,0,10.000200204008085,9.999998333735217,0.49998999,0,0
gait_20260909_145241_9cae0ba51169,/rslidar_rear/points,sensor_msgs/msg/PointCloud2,167,167,-0.121470927,16.478528262,0.026256322,16.598197229,1788936761599999905,1788936778199999094,1788936761747727154,1788936778319668061,"{""min"": 0.095271349, ""median"": 0.0999984745, ""p95"": 0.10015469775000001, ""max"": 0.104373932}","{""min"": 0.060875104, ""median"": 0.0999322445, ""p95"": 0.11044462475, ""max"": 0.142865012}","{""min"": 0.116592233, ""median"": 0.126561218, ""p95"": 0.1331068775, ""max"": 0.166570696}",0,0,0,10.000152552327185,10.000000488554242,0.4999923725,0,0
gait_20260909_145331_616f9d8038d9,/GAIT,drdds/msg/Gait,5,5,,,9.192539103,64.737721731,0,0,1788936820540909290,1788936876086091918,"{""min"": 0.0, ""median"": 0.0, ""p95"": 0.0, ""max"": 0.0}","{""min"": 5.744496041, ""median"": 14.434478698, ""p95"": 20.84386930325, ""max"": 20.931729191}",,4,5,0,,,0.1,0,4
gait_20260909_145331_616f9d8038d9,/HANDLE_STEER,drdds/msg/Steer,747,747,6.489247986,89.571899236,3.404654341,86.054207396,1788936817837618173,1788936900920269423,1788936814753024528,1788936897402577583,"{""min"": 4.8905e-05, ""median"": 8.09745e-05, ""p95"": 1.0000810704999998, ""max"": 5.004456777}","{""min"": 0.008752991, ""median"": 0.0806462925, ""p95"": 0.1323722625, ""max"": 4.454771956}","{""min"": -3.904135959, ""median"": -3.367587734, ""p95"": -2.9219481059000003, ""max"": -2.838097448}",0,0,0,12349.566838943125,8.979010524775472,0.1,73,25
gait_20260909_145331_616f9d8038d9,/IMU,sensor_msgs/msg/Imu,18636,18636,-0.015370187,93.159629813,0.00439385,93.175808021,1788936811333000000,1788936904508000000,1788936811352764037,1788936904524178208,"{""min"": 0.005, ""median"": 0.005, ""p95"": 0.005, ""max"": 0.005}","{""min"": 0.000725632, ""median"": 0.004965824, ""p95"": 0.0080446801, ""max"": 0.238611443}","{""min"": 0.009359175, ""median"": 0.011426374999999999, ""p95"": 0.06769711575000001, ""max"": 0.275127096}",0,0,0,200.0,200.0,0.1,0,1
gait_20260909_145331_616f9d8038d9,/JOINTS_DATA,drdds/msg/JointsData,18636,18636,-0.006713751,93.168270569,-0.003994267,93.217514077,1788936811341656436,1788936904516640756,1788936811344375920,1788936904565884264,"{""min"": 0.004822417, ""median"": 0.004999751, ""p95"": 0.005012293, ""max"": 0.005167459}","{""min"": 0.000964192, ""median"": 0.004975456, ""p95"": 0.009036919199999995, ""max"": 0.243210194}","{""min"": 0.000842208, ""median"": 0.0015470645, ""p95"": 0.059082644499999996, ""max"": 0.267728248}",0,0,0,200.0099604960327,200.00003365710253,0.1,0,1
gait_20260909_145331_616f9d8038d9,/JOINTS_DATA_10HZ,drdds/msg/JointsData,932,932,0.028275752,93.12826819,0.033863607,93.132816362,1788936811376645939,1788936904476638377,1788936811382233794,1788936904481186549,"{""min"": 0.09996351, ""median"": 0.099999968, ""p95"": 0.1000069685, ""max"": 0.100035844}","{""min"": 0.013170975, ""median"": 0.099987428, ""p95"": 0.10233672099999999, ""max"": 0.333352243}","{""min"": 0.000998603, ""median"": 0.002521172, ""p95"": 0.008798321849999988, ""max"": 0.235877883}",0,0,0,10.000003200001025,10.000000812244965,0.49999984,0,0
