t,cpu_11395,rss_mib_11395,cpu_11351,rss_mib_11351,rx_mbit_s,tx_mbit_s
3679.6,22.93,61.4,1.00,50.8,163.44,0.77
3680.6,23.92,61.4,0.00,50.8,163.57,0.46
3681.6,23.92,61.4,1.00,50.8,163.35,0.61
3682.6,23.93,61.4,0.00,50.8,163.39,68511.99
3683.6,21.93,61.4,0.00,50.8,163.27,0.43
3684.6,23.92,61.4,1.00,50.8,163.42,0.60
3685.6,23.93,61.4,1.99,50.8,163.44,0.77
3686.6,24.92,61.4,0.00,50.8,163.38,0.45
3687.6,23.92,61.4,1.00,50.8,163.22,68497.66
3688.6,22.98,61.4,0.00,50.8,163.78,0.80
3689.6,23.93,61.4,1.00,50.8,163.36,0.45
3690.6,22.93,61.4,1.00,50.8,163.53,0.63
3691.6,21.93,61.4,0.00,50.8,163.36,0.80
3692.6,22.93,61.4,0.00,50.8,163.39,0.46
3693.6,22.93,61.4,1.00,50.8,163.51,68509.41
3694.6,23.93,61.4,1.00,50.8,165.36,0.80
3695.6,23.93,61.4,0.00,50.8,166.44,0.46
3696.6,23.93,61.4,1.00,50.8,165.05,0.64
3697.6,22.93,61.4,1.00,50.8,166.27,0.81
3698.6,22.93,61.4,1.00,50.8,165.05,68513.38
3699.6,22.97,62.1,1.00,50.8,163.60,0.61
3700.6,22.93,63.5,0.00,50.8,163.27,0.77
3701.6,23.92,64.4,0.00,50.8,163.37,0.63
3702.6,23.92,61.3,1.00,50.8,163.56,0.46
3703.6,24.92,61.3,0.00,50.8,163.29,0.77
3704.6,22.92,61.3,1.00,50.8,163.44,68490.12
3705.7,22.92,61.3,1.00,50.8,163.25,0.44
3706.7,24.92,61.3,1.00,50.8,163.54,0.78
3707.7,22.93,61.3,0.00,50.8,163.39,0.62
3708.7,23.92,61.3,1.00,50.8,163.50,0.46
3709.7,16.95,61.3,0.00,50.8,163.34,68502.68
3710.7,21.94,61.3,1.00,50.8,163.52,0.63
3711.7,19.93,61.3,1.00,50.8,163.30,0.46
3712.7,21.93,61.3,0.00,50.8,163.57,0.79
3713.7,21.93,61.3,0.00,50.8,163.29,0.63
3714.7,21.93,61.3,1.00,50.8,163.42,0.46
3715.7,21.93,61.3,0.00,50.8,163.37,68513.03
3716.7,23.93,61.3,1.99,50.8,163.48,0.62
3717.7,20.94,61.3,0.00,50.8,163.32,0.46
3718.7,22.93,61.3,1.00,50.8,163.51,0.80
3719.7,21.93,61.3,0.00,50.8,163.32,0.62
3720.7,21.93,61.3,1.00,50.8,163.64,68514.38
3721.7,21.94,61.3,0.00,50.8,163.32,0.79
3722.7,20.94,61.3,1.00,50.8,163.38,0.63
3723.7,16.98,60.1,0.00,50.8,163.64,0.44
3724.7,32.90,60.1,1.00,50.8,163.56,0.76
3725.7,31.96,60.1,0.00,50.8,163.46,0.58
3726.7,31.91,60.1,1.00,50.8,163.69,68519.05
3727.7,33.89,60.1,0.00,50.8,163.38,0.75
3728.7,32.90,60.1,1.00,50.8,163.58,0.57
3729.7,33.91,60.2,1.00,50.8,166.32,0.42
3730.7,33.91,60.3,0.00,50.8,165.73,0.75
3731.7,32.90,60.8,1.00,50.8,166.51,68521.75
3732.7,33.90,60.9,1.00,50.8,164.58,0.42
3733.7,29.97,61.2,0.00,50.8,166.53,0.77
3734.7,33.90,61.5,1.00,50.8,163.80,0.60
3735.7,34.89,62.5,0.00,50.8,163.44,0.41
3736.7,34.89,65.4,1.00,50.8,163.67,0.75
3737.7,33.89,66.7,1.00,50.8,163.48,68497.79
3738.7,34.80,60.1,0.00,50.8,163.32,0.42
3739.8,33.88,60.1,1.00,50.8,163.32,0.74
3740.8,33.90,60.1,0.00,50.8,163.53,0.61
3741.8,33.90,60.1,1.00,50.8,163.48,0.41
3742.8,33.90,60.1,0.00,50.8,163.65,68515.35
3743.8,33.90,60.1,1.00,50.8,163.54,0.58
3744.8,34.88,60.1,0.00,50.8,163.62,0.41
3745.8,34.89,60.1,1.00,50.8,163.40,0.73
3746.8,33.91,60.1,1.00,50.8,163.77,0.58
3747.8,33.90,60.1,1.00,50.8,163.59,0.43
3748.8,33.90,60.1,0.00,50.8,163.73,68509.31
3749.8,31.90,61.3,1.00,50.8,163.47,0.61
3750.8,35.90,60.1,0.00,50.8,163.75,0.40
3751.8,31.91,60.1,1.00,50.8,163.59,0.74
3752.8,34.90,60.1,0.00,50.8,163.52,0.60
3753.8,32.91,60.1,1.00,50.8,163.50,68524.20
3754.8,33.91,60.1,1.00,50.8,163.63,0.75
3755.8,35.89,60.1,0.00,50.8,163.55,0.58
3756.8,34.89,60.1,1.00,50.8,163.63,0.42
3757.8,33.90,60.1,0.00,50.8,163.60,0.75
3758.8,34.89,60.1,1.00,50.8,163.65,0.58
3759.8,33.90,60.1,0.00,50.8,163.43,68521.52
3760.8,34.90,60.1,1.00,50.8,163.68,0.75
3761.8,34.90,60.1,0.00,50.8,163.50,0.59
3762.8,33.90,60.1,1.00,50.8,165.07,0.41
3763.8,34.80,60.6,0.99,50.8,168.60,0.75
3764.8,31.90,60.9,1.00,50.8,165.33,68510.50
3765.8,34.90,61.2,0.00,50.8,165.73,0.40
3766.8,32.90,62.1,1.00,50.8,163.78,0.77
3767.8,34.89,63.6,0.00,50.8,163.35,0.58
3768.8,33.90,64.9,1.00,50.8,163.46,0.40
3769.8,32.90,65.8,0.00,50.8,163.30,0.75
3770.8,35.89,66.7,1.00,50.8,163.54,68514.33
3771.8,32.90,64.9,0.00,50.8,163.42,0.42
3772.9,33.90,60.1,1.00,50.8,163.51,0.77
3773.9,34.89,60.1,0.00,50.8,163.37,0.58
3774.9,32.90,60.1,1.00,50.8,163.60,0.42
3775.9,32.90,60.1,0.00,50.8,163.51,68513.65
3776.9,33.91,60.1,1.00,50.8,163.68,0.57
3777.9,33.90,60.1,0.00,50.8,163.44,0.41
3778.9,33.90,60.1,1.00,50.8,163.59,0.76
3779.9,32.90,60.1,1.00,50.8,163.52,0.60
3780.9,34.90,60.1,0.00,50.8,163.56,0.44
3781.9,30.96,60.1,1.00,50.8,163.70,68639.74
3782.9,33.90,60.1,0.00,50.8,163.63,0.61
3783.9,34.89,60.1,1.00,50.8,163.26,0.41
3784.9,34.90,60.1,1.00,50.8,163.36,0.74
3785.9,34.90,60.1,0.00,50.8,163.27,0.60
3786.9,29.90,60.1,1.00,50.8,163.43,68496.63
3787.9,34.90,60.1,0.00,50.8,163.29,0.75
3788.9,34.90,60.1,1.00,50.8,163.44,0.59
3789.9,32.90,60.1,1.00,50.8,163.37,0.41
3790.9,33.90,60.1,0.00,50.8,163.46,0.74
3791.9,33.90,60.1,1.00,50.8,163.28,0.61
3792.9,33.95,60.1,1.00,50.8,163.69,68625.39
3793.9,34.89,60.1,0.00,50.8,163.39,0.76
3794.9,34.90,60.1,1.00,50.8,163.57,0.59
3795.9,32.91,60.1,1.00,50.8,163.36,0.42
3796.9,33.91,60.1,0.00,50.8,164.22,0.77
3797.9,32.90,60.1,0.00,50.8,165.40,68518.03
3798.9,33.90,60.5,1.00,50.8,167.06,0.42
3799.9,35.89,60.9,0.00,50.8,166.17,0.76
3800.9,33.90,61.1,1.99,50.8,165.00,0.60
3801.9,33.90,62.0,0.00,50.8,164.41,0.43
3802.9,33.90,62.6,0.00,50.8,163.30,0.78
3803.9,32.90,65.0,1.00,50.8,163.17,68507.10
3804.9,33.90,66.7,1.00,50.8,163.44,0.42
3805.9,33.89,66.7,0.00,50.8,163.20,0.75
3806.9,34.89,60.1,1.00,50.8,163.41,0.59
3808.0,33.89,60.1,0.00,50.8,163.27,0.39
3809.0,33.90,60.1,1.00,50.8,163.62,68510.59
3810.0,33.91,60.1,0.00,50.8,163.38,0.57
3811.0,32.90,60.1,1.00,50.8,163.50,0.40
3812.0,32.90,60.1,1.00,50.8,163.37,0.75
3813.0,33.90,60.1,0.00,50.8,163.53,0.58
3814.0,33.90,60.1,1.00,50.8,163.29,0.41
3815.0,32.90,60.1,0.00,50.8,163.49,68508.63
3816.0,35.89,60.1,1.00,50.8,163.33,0.57
3817.0,34.90,60.1,0.00,50.8,163.49,0.41
3818.0,32.90,60.1,1.00,50.8,163.38,0.74
3819.0,35.90,60.1,0.00,50.8,163.46,0.58
3820.0,28.92,60.1,1.00,50.8,163.27,68530.75
3821.0,16.98,60.1,0.00,50.8,163.62,0.75
3822.0,19.98,60.1,0.00,50.8,163.69,0.60
3823.0,33.95,60.1,1.00,50.8,163.73,0.42
3824.0,35.89,60.1,0.00,50.8,163.39,0.76
3825.0,33.90,60.1,1.00,50.8,163.44,0.62
3826.0,34.90,60.1,0.00,50.8,163.27,68519.93
3827.0,35.89,60.1,0.00,50.8,163.44,0.76
3828.0,33.90,60.1,1.99,50.8,163.38,0.58
3829.0,32.90,60.1,0.00,50.8,163.47,0.40
3830.0,34.89,60.1,1.00,50.8,163.25,0.74
3831.0,33.90,60.1,0.00,50.8,163.45,68513.52
3832.0,34.90,60.1,0.00,50.8,163.55,0.40
