t,cpu_11395,rss_mib_11395,cpu_11351,rss_mib_11351,rx_mbit_s,tx_mbit_s
4041.6,32.90,64.1,1.00,50.8,163.96,0.57
4042.6,32.90,65.0,0.00,50.8,164.09,0.75
4043.6,33.90,66.3,1.99,50.8,163.93,0.41
4044.6,31.90,60.1,0.00,50.8,163.88,0.61
4045.6,30.97,62.4,0.00,50.8,164.19,68651.58
4046.7,33.90,60.1,1.00,50.8,164.22,0.59
4047.7,31.90,60.1,1.00,50.8,163.77,0.40
4048.7,32.90,60.1,0.00,50.8,164.02,0.74
4049.7,32.90,60.1,1.00,50.8,163.83,0.59
4050.7,29.91,60.1,0.00,50.8,164.15,68516.88
4051.7,31.90,60.1,1.00,50.8,163.91,0.72
4052.7,29.91,60.1,0.00,50.8,164.09,0.60
4053.7,32.90,60.1,1.00,50.8,164.02,0.41
4054.7,33.90,60.1,1.00,50.8,164.13,0.74
4055.7,31.90,60.1,0.00,50.8,163.98,0.61
4056.7,32.90,60.1,1.00,50.8,164.12,68510.86
4057.7,33.90,60.1,0.00,50.8,163.99,0.74
4058.7,32.90,60.1,1.00,50.8,164.07,0.59
4059.7,33.90,60.1,1.00,50.8,163.91,0.43
4060.7,31.90,60.1,0.00,50.8,164.02,0.74
4061.7,30.91,60.1,1.00,50.8,163.98,68519.35
4062.7,32.90,60.1,0.00,50.8,164.17,0.42
4063.7,32.90,60.1,1.00,50.8,163.85,0.73
4064.7,33.90,60.1,0.00,50.8,164.13,0.59
4065.7,32.90,60.1,0.00,50.8,163.90,0.39
4066.7,32.90,60.1,1.00,50.8,163.97,0.78
4067.7,33.90,60.1,1.00,50.8,163.85,68511.28
4068.7,33.90,60.1,1.00,50.8,164.04,0.42
4069.7,32.90,60.1,0.00,50.8,163.81,0.77
4070.7,32.91,60.1,1.00,50.8,164.19,0.60
4071.7,32.90,60.2,0.00,50.8,166.48,0.42
4072.7,31.91,60.6,0.00,50.8,168.51,68519.97
4073.7,31.91,60.9,1.00,50.8,165.73,0.61
4074.7,32.90,60.9,0.00,50.8,164.85,0.42
4075.7,31.90,64.0,1.00,50.8,165.88,0.75
4076.7,33.89,64.0,1.00,50.8,164.06,0.60
4077.7,31.91,65.7,0.00,50.8,164.02,0.45
4078.7,32.90,66.5,0.00,50.8,164.18,68505.99
4079.7,33.90,62.9,1.00,50.8,163.92,0.59
4080.8,31.90,60.9,1.00,50.8,164.17,0.41
4081.8,30.90,61.3,0.00,50.8,163.89,0.75
4082.8,34.90,60.1,1.00,50.8,164.12,0.60
4083.8,30.91,60.1,1.00,50.8,163.94,68523.97
4084.8,32.90,60.1,0.00,50.8,164.11,0.74
4085.8,32.91,60.1,0.00,50.8,164.00,0.59
4086.8,31.91,60.1,1.99,50.8,164.16,0.42
4087.8,31.90,60.1,0.00,50.8,163.75,0.75
4088.8,31.91,60.1,1.00,50.8,164.17,0.62
4089.8,32.90,60.1,0.00,50.8,163.84,68518.41
4090.8,32.90,60.1,0.00,50.8,164.04,0.74
4091.8,33.90,60.1,1.00,50.8,163.85,0.58
4092.8,32.90,60.1,1.00,50.8,163.94,0.37
4093.8,32.90,60.1,1.00,50.8,163.86,0.74
4094.8,30.90,60.1,0.00,50.8,164.08,68496.90
4095.8,32.90,60.1,0.00,50.8,163.99,0.41
4096.8,33.90,60.1,1.00,50.8,164.06,0.71
4097.8,31.91,60.1,0.00,50.8,164.01,0.57
4098.8,32.91,60.1,1.00,50.8,164.07,0.39
4099.8,30.91,60.1,0.00,50.8,163.96,34265.88
4100.8,31.97,60.1,2.00,50.8,164.23,34324.26
4101.8,32.90,60.1,0.00,50.8,163.87,0.42
4102.8,31.90,60.1,0.00,50.8,163.93,0.71
4103.8,32.90,60.1,1.00,50.8,163.78,0.58
4104.8,32.90,60.1,1.00,50.8,164.62,0.41
4105.8,31.91,60.1,0.00,50.8,165.62,68520.27
4106.8,31.91,60.5,1.00,50.8,167.26,0.59
4107.8,32.90,60.7,0.00,50.8,165.54,0.42
4108.8,32.90,61.2,1.00,50.8,168.08,0.76
4109.8,34.89,61.3,1.00,50.8,164.08,0.59
4110.8,31.90,64.6,0.00,50.8,163.78,68515.71
4111.8,32.90,65.2,1.00,50.8,163.77,0.76
4112.8,29.91,65.5,0.00,50.8,164.17,0.60
4113.8,33.89,66.7,1.00,50.8,163.92,0.42
4114.9,33.90,60.1,0.00,50.8,164.20,0.75
4115.9,32.91,60.1,1.00,50.8,163.74,0.58
4116.9,30.97,64.5,0.00,50.8,164.33,68654.24
4117.9,35.89,60.1,1.00,50.8,163.82,0.75
4118.9,32.90,60.1,0.00,50.8,163.82,0.60
4119.9,32.90,60.1,1.00,50.8,163.77,0.43
4120.9,31.90,60.1,0.00,50.8,163.80,0.76
4121.9,30.91,60.1,1.00,50.8,163.76,68515.08
4122.9,32.90,60.1,0.00,50.8,163.94,0.41
4123.9,32.90,60.1,1.00,50.8,163.63,0.73
4124.9,32.91,60.1,0.00,50.8,163.84,0.59
4125.9,33.89,60.1,1.00,50.8,163.79,0.41
4126.9,30.91,60.1,0.00,50.8,163.85,0.74
4127.9,32.95,60.1,1.00,50.8,163.94,68612.13
4128.9,32.90,60.1,0.00,50.8,164.03,0.40
4129.9,28.91,60.1,1.00,50.8,163.82,0.76
4130.9,32.93,60.1,1.00,50.8,164.10,0.57
4131.9,30.91,60.1,0.00,50.8,163.79,0.42
4132.9,32.90,60.1,0.00,50.8,163.99,68517.19
4133.9,28.91,60.1,1.00,50.8,163.91,0.58
4134.9,30.91,60.1,0.00,50.8,164.06,0.42
4135.9,33.90,60.1,1.00,50.8,164.04,0.76
4136.9,31.92,60.1,1.00,50.8,164.06,0.61
4137.9,31.91,60.1,1.00,50.8,163.87,0.45
4138.9,31.91,60.1,0.00,50.8,164.12,68525.05
4139.9,32.90,60.1,1.00,50.8,163.94,0.58
4140.9,32.90,60.1,0.00,50.8,164.89,0.39
4141.9,31.91,60.4,1.00,50.8,167.78,0.76
4142.9,32.90,60.7,0.00,50.8,167.05,0.60
4143.9,31.91,60.6,1.00,50.8,162.80,68523.43
4144.9,32.91,60.9,1.00,50.8,166.68,0.74
4145.9,33.91,61.2,0.00,50.8,166.31,0.59
4146.9,31.90,64.4,1.00,50.8,164.08,0.42
4147.9,33.90,66.1,1.00,50.8,163.82,0.75
4148.9,31.90,66.8,0.00,50.8,164.01,0.62
4150.0,31.90,60.1,1.00,50.8,163.73,68506.06
4151.0,32.89,66.8,1.00,50.8,164.09,0.74
4152.0,31.89,60.1,0.00,50.8,163.84,0.59
4153.0,31.91,60.1,0.00,50.8,164.00,0.43
4154.0,31.91,60.1,1.00,50.8,163.94,0.75
4155.0,31.91,60.1,1.00,50.8,164.08,68517.84
4156.0,32.90,60.1,0.00,50.8,163.80,0.42
4157.0,32.89,60.1,1.00,50.8,163.80,0.75
4158.0,32.90,60.1,0.00,50.8,163.78,0.60
4159.0,33.89,60.1,0.00,50.8,163.94,0.41
4160.0,33.90,60.1,1.00,50.8,163.79,0.77
4161.0,32.90,60.1,0.00,50.8,163.78,68511.66
4162.0,31.91,60.1,1.00,50.8,163.73,0.40
4163.0,32.91,60.1,1.00,50.8,163.96,0.73
4164.0,31.91,60.1,1.00,50.8,163.75,0.58
4165.0,32.91,60.1,0.00,50.8,163.89,0.41
4166.0,30.91,60.1,0.00,50.8,163.91,68525.35
4167.0,33.89,60.1,1.00,50.8,163.84,0.59
4168.0,31.91,60.1,0.00,50.8,163.81,0.41
4169.0,33.91,60.1,1.00,50.8,163.88,0.76
4170.0,31.91,60.1,1.00,50.8,163.74,0.58
4171.0,32.90,60.1,1.00,50.8,163.97,0.43
4172.0,32.91,60.1,0.00,50.8,163.72,68524.99
