IMG_6988.HEIC|2026-09-14 06:43:58 +0000|30.31761166666667|120.0346305|2026:09:14 06:43:57|324.9784240150094
IMG_6989.HEIC|2026-09-14 06:44:21 +0000|30.31755833333333|120.0346305|2026:09:14 06:44:20|215.3631284916201
IMG_6990.HEIC|2026-09-14 06:44:44 +0000|30.31743333333333|120.0346528333333|2026:09:14 06:44:43|146.1614379084967
IMG_6991.HEIC|2026-09-14 06:45:40 +0000|30.31743333333333|120.0347221666667|2026:09:14 06:45:40|288.3979
IMG_6992.HEIC|2026-09-14 06:45:54 +0000|30.31753333333333|120.0350805|2026:09:14 06:45:53|142.5589752407153
IMG_6993.HEIC|2026-09-14 06:46:19 +0000|30.317495|120.0350416666667|2026:09:14 06:46:18|295.7566
IMG_6994.HEIC|2026-09-14 06:46:55 +0000|30.31767833333333|120.0350028333333|2026:09:14 06:46:54|311.3526000748223
IMG_6995.HEIC|2026-09-14 06:47:34 +0000|30.317775|120.0355833333333|2026:09:14 06:47:30|285.0822
IMG_6996.HEIC|2026-09-14 06:47:58 +0000|30.31732166666667|120.0357138333333|2026:09:14 06:47:58|291.453216374269
IMG_6997.HEIC|2026-09-14 06:48:18 +0000|30.31745833333333|120.0358195|2026:09:14 06:48:17|298.4404600811908
IMG_6998.HEIC|2026-09-14 06:48:35 +0000|30.31741333333333|120.0358361666667|2026:09:14 06:48:33|152.5673
IMG_6999.HEIC|2026-09-14 06:48:52 +0000|30.31742|120.0358583333333|2026:09:14 06:48:52|134.2781830238727
IMG_7001.HEIC|2026-09-14 06:49:11 +0000|30.31743833333333|120.0358666666667|2026:09:14 06:49:11|64.98704534130543
IMG_7002.HEIC|2026-09-14 06:49:29 +0000|30.31768833333333|120.0356528333333|2026:09:14 06:49:29|15.65210055677409
IMG_7003.HEIC|2026-09-14 06:49:47 +0000|30.31773833333333|120.0356055|2026:09:14 06:49:47|0.07585689423387559
IMG_7004.HEIC|2026-09-14 06:50:23 +0000|30.317755|120.0355833333333|2026:09:14 06:50:23|336.3240356083086
IMG_7005.HEIC|2026-09-14 06:50:36 +0000|30.31776333333333|120.0356055|2026:09:14 06:50:34|309.8128357364998
IMG_7006.HEIC|2026-09-14 06:50:48 +0000|30.31770833333333|120.03575|2026:09:14 06:50:47|357.4291688447465
IMG_7007.HEIC|2026-09-14 06:51:12 +0000|30.31778666666667|120.035775|2026:09:14 06:51:12|137.0405426237089
IMG_7008.HEIC|2026-09-14 06:51:24 +0000|30.31785833333333|120.03575|2026:09:14 06:51:23|106.3804244535952
IMG_7009.HEIC|2026-09-14 06:51:53 +0000|30.31790333333333|120.0355833333333|2026:09:14 06:51:52|356.7166138524219
IMG_7010.HEIC|2026-09-14 06:52:11 +0000|30.31803666666667|120.0352471666667|2026:09:14 06:52:08|41.08273314866113
IMG_7011.HEIC|2026-09-14 06:52:32 +0000|30.318005|120.0354778333333|2026:09:14 06:52:32|30.17660903412691
IMG_7012.HEIC|2026-09-14 06:52:56 +0000|30.31786333333333|120.0354471666667|2026:09:14 06:52:56|344.299591002045
IMG_7013.HEIC|2026-09-14 06:53:21 +0000|30.31772|120.0352945|2026:09:14 06:53:20|358.6392516766679
IMG_7014.HEIC|2026-09-14 06:53:41 +0000|30.317605|120.0352471666667|2026:09:14 06:53:41|39.42673491251042
IMG_7015.HEIC|2026-09-14 06:54:04 +0000|30.31750333333333|120.0350888333333|2026:09:14 06:54:02|35.29880142533204
IMG_7016.HEIC|2026-09-14 06:54:24 +0000|30.31752833333333|120.0352638333333|2026:09:14 06:54:23|29.14298245614035
IMG_7017 2.HEIC|2026-09-14 06:54:39 +0000|30.317505|120.0350278333333|2026:09:14 06:54:38|40.83360291144359
IMG_7018 2.HEIC|2026-09-14 06:54:55 +0000|30.31748833333333|120.0350638333333|2026:09:14 06:54:55|7.556480888319453
