iteration,timesteps,reward,success,fall,eval_success,eval_fall,eval_steps,policy_loss,eval_drop_free,eval_front_to_rear_steps,eval_mean_success_steps,eval_std_success_steps,eval_fastest_success_steps,value_loss,std,fps,actor_frozen
1,384,0.4081481993198395,0.0,0.0,0.0,0.0,0.0,8.717179298400879e-07,0.0,,,,,39.72414207458496,0.022370772436261177,89.68936640138786,1
2,768,0.8428165316581726,0.0,0.0,0.0,0.0,0.0,-1.2451782822608948e-06,0.0,,,,,116.16746520996094,0.022370772436261177,102.11504960187533,1
3,1152,1.1494463682174683,0.0,0.0,0.0,0.0,0.0,-2.4801120162010193e-06,0.0,,,,,195.50321197509766,0.022370772436261177,106.62692855795197,1
4,1536,0.09848201274871826,0.0,0.0,0.0,0.0,0.0,-6.26459950581193e-07,0.0,,,,,35.55176782608032,0.022370772436261177,108.58731693807789,1
5,1920,3.574660301208496,1.0,0.0,0.0,0.0,0.0,6.431946530938148e-07,0.0,,,,,20908.602294921875,0.022370772436261177,110.04809017806983,1
6,2304,-0.3335915505886078,1.0,0.0,0.0,0.0,0.0,5.537876859307289e-06,0.0,,,,,74.10859107971191,0.022370772436261177,111.54817514618628,1
7,2688,3.884977102279663,1.0,0.0,0.0,0.0,0.0,-6.312504410743713e-06,0.0,,,,,19366.707275390625,0.022370772436261177,114.06706131832829,1
8,3072,5.572047710418701,1.0,0.0,0.0,0.0,0.0,-8.530914783477783e-07,0.0,,,,,22935.513427734375,0.022370772436261177,114.54515181454012,1
9,3456,0.20590950548648834,1.0,0.0,0.0,0.0,0.0,-9.685754776000977e-08,0.0,,,,,69.35332679748535,0.022370772436261177,114.62307305838078,1
10,3840,0.012005160562694073,1.0,0.0,0.0,0.0,0.0,1.225271262228489e-06,0.0,,,,,85.9644832611084,0.022370772436261177,115.13484131679196,1
11,4224,-0.06622370332479477,1.0,0.0,0.0,0.0,0.0,2.8836075216531754e-06,0.0,,,,,41.76321792602539,0.022370772436261177,115.19176606430423,1
12,4608,-0.2199040651321411,1.0,0.0,0.0,0.0,0.0,-4.73076943308115e-06,0.0,,,,,50.99200248718262,0.022370772436261177,115.35473635605166,1
13,4992,1.5661765336990356,1.0,0.0,0.0,0.0,0.0,3.296881914138794e-07,0.0,,,,,7225.7867431640625,0.022370772436261177,115.40592312881856,1
14,5376,3.400954008102417,1.0,0.0,0.0,0.0,0.0,1.3560056686401367e-06,0.0,,,,,14727.721923828125,0.022370772436261177,115.62023989447262,1
15,5760,4.925079822540283,1.0,0.0,0.0,0.0,0.0,-2.200249582529068e-06,0.0,,,,,15391.039306640625,0.022370772436261177,116.11193837790674,1
16,6144,3.616373062133789,1.0,0.0,0.0,0.0,0.0,-4.684552550315857e-07,0.0,,,,,12192.619262695312,0.022370772436261177,116.30055965601665,1
